user_id,fund_category,fund_name,investment_amount,risk_profile,investment_date,fund_performance,user_age,fund_risk_level,investment_duration_years
1,Equity,BlackRock Global Allocation Fund,37286.72,Moderate,7/30/2021,16.22,63,High,25
2,Equity,Vanguard Total Stock Market Index Fund,10198.82,Moderate,6/2/2018,10.43,31,Low,18
3,Equity,BlackRock Global Allocation Fund,353074.2,Conservative,8/27/2017,2.36,32,Medium,3
4,Fixed Income,BlackRock Global Allocation Fund,906754.4,Aggressive,1/28/2017,32.48,31,High,29
5,Fixed Income,BlackRock Global Allocation Fund,509957.36,Aggressive,6/18/2012,-46.79,48,Low,15
6,Balanced,BlackRock Global Allocation Fund,355804.93,Aggressive,9/12/2013,-0.44,34,Low,11
7,Equity,BlackRock Global Allocation Fund,773281.1,Conservative,3/29/2020,-45.78,22,Medium,30
8,Balanced,Fidelity 500 Index Fund,507897.83,Moderate,6/28/2010,-22.05,83,Medium,26
9,Balanced,Vanguard Total Stock Market Index Fund,173439.18,Moderate,8/8/2014,45.89,44,High,2
10,Equity,Vanguard Total Stock Market Index Fund,359427.8,Conservative,5/14/2013,-26.68,33,Medium,5
11,Balanced,Vanguard Total Stock Market Index Fund,565135.73,Conservative,3/20/2019,-24.49,33,Medium,12
12,Equity,Fidelity 500 Index Fund,316152.41,Aggressive,10/14/2020,-18.68,49,Medium,8
13,Fixed Income,BlackRock Global Allocation Fund,725913.69,Aggressive,10/18/2017,-24.12,62,Medium,8
14,Fixed Income,Fidelity 500 Index Fund,319013.03,Moderate,4/18/2010,-31.09,63,High,28
15,Balanced,Fidelity 500 Index Fund,31337.65,Conservative,1/24/2016,20.21,60,Medium,20
16,Equity,Fidelity 500 Index Fund,283837.35,Conservative,8/14/2014,-17.16,43,High,10
17,Fixed Income,BlackRock Global Allocation Fund,277926.03,Aggressive,3/6/2010,26.0,28,Low,17
18,Balanced,BlackRock Global Allocation Fund,437518.29,Moderate,7/17/2017,-0.92,64,Medium,9
19,Balanced,Fidelity 500 Index Fund,86929.83,Moderate,2/10/2020,-23.08,36,Medium,19
20,Balanced,BlackRock Global Allocation Fund,256064.98,Conservative,11/3/2016,29.17,43,Low,27
21,Fixed Income,Fidelity 500 Index Fund,774297.28,Aggressive,3/6/2019,-48.09,39,High,20
22,Equity,Fidelity 500 Index Fund,397228.86,Conservative,11/26/2020,-17.08,25,High,13
23,Equity,BlackRock Global Allocation Fund,365929.73,Moderate,8/10/2018,37.79,81,Medium,12
24,Fixed Income,BlackRock Global Allocation Fund,14897.35,Aggressive,3/5/2014,32.83,73,Low,18
25,Fixed Income,BlackRock Global Allocation Fund,904632.61,Conservative,12/20/2011,9.98,19,High,9
26,Fixed Income,Fidelity 500 Index Fund,222148.22,Aggressive,7/6/2011,-6.86,75,Medium,26
27,Fixed Income,Fidelity 500 Index Fund,689128.66,Conservative,10/25/2019,-3.46,63,Medium,29
28,Balanced,Fidelity 500 Index Fund,917468.9,Aggressive,7/8/2021,29.84,39,High,16
29,Balanced,Vanguard Total Stock Market Index Fund,996370.64,Conservative,3/10/2021,22.96,38,Medium,16
30,Equity,Vanguard Total Stock Market Index Fund,956843.58,Aggressive,5/9/2017,39.39,53,Low,5
31,Balanced,Fidelity 500 Index Fund,160755.91,Aggressive,5/13/2016,5.34,49,High,11
32,Balanced,Fidelity 500 Index Fund,652618.65,Aggressive,7/11/2010,36.67,46,Medium,6
33,Fixed Income,Vanguard Total Stock Market Index Fund,122615.56,Aggressive,1/18/2014,-12.71,32,Low,7
34,Fixed Income,BlackRock Global Allocation Fund,230943.19,Moderate,7/2/2015,-48.19,37,High,10
35,Equity,Vanguard Total Stock Market Index Fund,824454.88,Moderate,1/17/2015,-13.69,50,Low,17
36,Fixed Income,BlackRock Global Allocation Fund,77561.83,Aggressive,8/29/2014,35.64,66,Low,19
37,Equity,Fidelity 500 Index Fund,260656.17,Aggressive,7/23/2018,-17.83,38,Low,29
38,Balanced,Vanguard Total Stock Market Index Fund,489583.54,Aggressive,8/4/2010,2.7,20,Low,24
39,Equity,Vanguard Total Stock Market Index Fund,617684.26,Moderate,5/18/2018,-18.72,61,Low,18
40,Fixed Income,Vanguard Total Stock Market Index Fund,957444.66,Moderate,7/13/2010,-45.83,82,Low,1
41,Balanced,Fidelity 500 Index Fund,320217.54,Moderate,6/18/2019,-6.44,69,High,22
42,Fixed Income,Fidelity 500 Index Fund,825456.03,Aggressive,7/15/2012,15.56,75,Low,18
43,Balanced,BlackRock Global Allocation Fund,565021.08,Moderate,12/16/2015,-31.45,54,High,23
44,Equity,BlackRock Global Allocation Fund,977752.67,Moderate,8/25/2016,-42.0,72,High,22
45,Fixed Income,BlackRock Global Allocation Fund,356210.13,Moderate,12/20/2016,37.86,30,Low,28
46,Fixed Income,Fidelity 500 Index Fund,129652.69,Aggressive,8/18/2018,45.56,70,Medium,22
47,Fixed Income,BlackRock Global Allocation Fund,116702.3,Conservative,10/23/2020,38.14,35,Medium,25
48,Equity,BlackRock Global Allocation Fund,892594.52,Aggressive,9/11/2013,-46.7,25,Medium,1
49,Balanced,Vanguard Total Stock Market Index Fund,292636.77,Conservative,2/18/2015,-41.54,84,Medium,20
50,Balanced,Vanguard Total Stock Market Index Fund,63967.66,Moderate,8/25/2019,35.04,57,High,11
51,Equity,Fidelity 500 Index Fund,631300.35,Conservative,5/23/2015,-21.54,77,Low,8
52,Fixed Income,BlackRock Global Allocation Fund,972547.55,Conservative,1/27/2013,43.44,22,Low,12
53,Fixed Income,Fidelity 500 Index Fund,550764.77,Conservative,11/24/2020,27.57,34,Medium,7
54,Balanced,BlackRock Global Allocation Fund,871626.27,Aggressive,4/15/2014,38.22,49,Medium,16
55,Balanced,BlackRock Global Allocation Fund,931403.73,Conservative,2/16/2013,0.05,57,Low,8
56,Equity,Fidelity 500 Index Fund,11047.81,Aggressive,7/23/2013,-29.78,35,High,17
57,Balanced,Fidelity 500 Index Fund,209166.66,Moderate,1/5/2015,-9.81,23,Medium,25
58,Fixed Income,Vanguard Total Stock Market Index Fund,351229.82,Aggressive,5/26/2017,27.08,36,High,17
59,Balanced,BlackRock Global Allocation Fund,913088.93,Moderate,3/9/2016,1.78,18,High,17
60,Equity,BlackRock Global Allocation Fund,995543.49,Aggressive,12/24/2016,-17.92,75,High,26
61,Equity,Vanguard Total Stock Market Index Fund,755808.19,Moderate,10/10/2021,-21.17,83,Medium,21
62,Equity,Vanguard Total Stock Market Index Fund,79573.38,Conservative,5/13/2019,-39.66,31,Low,18
63,Balanced,BlackRock Global Allocation Fund,501092.33,Conservative,12/15/2020,-39.37,48,Medium,30
64,Balanced,BlackRock Global Allocation Fund,4713.59,Conservative,3/9/2013,-45.56,46,High,18
65,Equity,Fidelity 500 Index Fund,732042.29,Aggressive,1/15/2016,30.24,67,Low,20
